City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
125,Tangwani,PK,2020-07-14 15:17:03,28.28,69.0,102.2,48,12,11.81
126,Batemans Bay,AU,2020-07-14 15:17:03,-35.72,150.18,46.99,88,71,3.0
127,Nyandoma,RU,2020-07-14 15:17:03,61.67,40.2,63.81,70,100,3.74
128,Kieta,PG,2020-07-14 15:17:03,-6.22,155.63,77.95,77,98,2.8
129,Nelson Bay,AU,2020-07-14 15:17:04,-32.72,152.15,54.0,81,40,17.22
130,Mbaiki,CF,2020-07-14 15:17:04,3.87,17.99,76.75,76,100,4.07
131,Annau,TM,2020-07-14 15:17:04,37.89,58.52,95.0,28,75,9.17
132,Ongandjera,NA,2020-07-14 15:17:04,-17.88,15.07,78.75,13,0,10.56
133,Pringsewu,ID,2020-07-14 15:17:04,-5.36,104.97,73.35,93,75,2.15
134,Chenghai,CN,2020-07-14 15:14:01,23.46,116.77,80.6,74,40,6.71
135,Yellowknife,CA,2020-07-14 15:14:45,62.46,-114.35,55.4,93,90,18.34
136,Rangpo,IN,2020-07-14 15:17:05,27.18,88.53,78.8,75,100,1.3
137,Grindavik,IS,2020-07-14 15:17:05,63.84,-22.43,55.4,82,90,9.17
138,Yershov,RU,2020-07-14 15:17:05,51.35,48.28,89.82,30,96,18.99
139,Camacupa,AO,2020-07-14 15:17:05,-12.02,17.48,81.45,15,0,6.38
140,Antalaha,MG,2020-07-14 15:17:05,-14.9,50.28,72.39,81,80,10.2
141,Aklavik,CA,2020-07-14 15:17:05,68.22,-135.01,51.8,93,75,5.82
142,Cherskiy,RU,2020-07-14 15:17:06,68.75,161.3,40.8,74,0,11.48
143,Thompson,CA,2020-07-14 15:15:19,55.74,-97.86,59.0,93,90,8.05
144,Khatanga,RU,2020-07-14 15:17:06,71.97,102.5,60.76,72,99,5.28
145,Krasnyy Chikoy,RU,2020-07-14 15:17:06,50.36,108.75,64.58,80,24,3.94
146,Coahuayana,MX,2020-07-14 15:17:06,18.73,-103.68,77.0,78,20,2.1
147,Playa Vicente,MX,2020-07-14 15:17:06,17.83,-95.82,80.01,77,96,2.68
148,Paamiut,GL,2020-07-14 15:17:07,61.99,-49.67,40.71,92,45,15.75
149,Vyshneve,UA,2020-07-14 15:17:07,50.39,30.37,69.8,43,100,13.42
150,Umm Lajj,SA,2020-07-14 15:17:07,25.02,37.27,90.01,43,0,5.23
