City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
147,Erattupetta,IN,9.7,76.78,77.0,100,40,4.7,mist,0.0,0
148,Amahai,ID,-3.33,128.92,79.72,84,68,8.59,light rain,0.53,0
149,Xining,CN,36.62,101.77,69.06,54,30,2.62,scattered clouds,0.0,0
150,Ostrovnoy,RU,68.05,39.51,46.56,80,100,8.93,overcast clouds,0.0,0
151,Attawapiskat,not found,68.05,39.51,0.0,0,0,0.0,no weather description,0.0,0
152,Riyadh,SA,24.69,46.72,93.2,18,0,4.7,clear sky,0.0,0
153,Kudahuvadhoo,MV,2.67,72.89,83.7,73,100,6.35,overcast clouds,0.0,0
154,Gojo,JP,34.35,135.7,77.0,78,75,11.41,broken clouds,0.0,0
155,Lebu,CL,-37.62,-73.65,50.07,76,0,4.34,clear sky,0.0,0
156,Cabo San Lucas,MX,22.89,-109.91,93.99,66,20,14.99,few clouds,0.0,0
157,Solovetskiy,not found,22.89,-109.91,0.0,0,0,0.0,no weather description,0.0,0
158,Luanda,AO,-8.84,13.23,71.6,88,75,3.27,broken clouds,0.0,0
159,Klyuchi,RU,52.27,79.17,72.23,73,0,9.82,clear sky,0.0,0
160,Constitucion,CL,-35.33,-72.42,53.35,72,0,4.65,clear sky,0.0,0
161,Iqaluit,CA,63.75,-68.51,55.4,66,20,1.32,few clouds,0.0,0
162,Dikson,RU,73.51,80.55,40.19,91,99,12.8,overcast clouds,0.0,0
163,Saint-Augustin,CA,51.23,-58.65,49.21,85,6,9.31,clear sky,0.0,0
164,Jinchang,CN,38.5,102.17,80.83,28,89,5.86,overcast clouds,0.0,0
165,Boulder City,US,35.98,-114.83,104.0,6,1,24.16,clear sky,0.0,0
166,Port Hedland,AU,-20.32,118.57,73.4,31,75,13.87,broken clouds,0.0,0
167,Havre-Saint-Pierre,CA,50.23,-63.6,57.2,71,1,4.7,clear sky,0.0,0
168,Clyde River,CA,70.47,-68.59,53.6,71,75,14.99,broken clouds,0.0,0
169,Meyungs,not found,70.47,-68.59,0.0,0,0,0.0,no weather description,0.0,0
170,Oranjemund,NA,-28.55,16.43,52.43,51,0,8.5,clear sky,0.0,0
171,Wajima,JP,37.4,136.9,69.8,100,75,5.82,light intensity shower rain,0.0,0
172,De Aar,ZA,-30.65,24.01,27.95,94,0,5.19,clear sky,0.0,0
173,Grand River South East,not found,-30.65,24.01,0.0,0,0,0.0,no weather description,0.0,0
174,Nome,US,64.5,-165.41,51.8,87,90,9.17,light rain,0.25,0
175,Vila Velha,BR,-20.33,-40.29,73.4,83,40,9.17,scattered clouds,0.0,0
176,Plouzane,FR,48.38,-4.62,59.0,87,90,8.05,overcast clouds,0.0,0
177,Narrabri,AU,-30.32,149.78,57.99,76,0,8.05,clear sky,0.0,0
178,Sentyabrskiy,not found,-30.32,149.78,0.0,0,0,0.0,no weather description,0.0,0
179,Sokolo,ML,14.73,-6.12,83.17,59,97,13.51,light rain,0.69,0
180,Vardo,NO,70.37,31.11,46.31,83,69,6.87,broken clouds,0.0,0
181,Canico,PT,32.63,-16.85,71.6,68,20,24.16,few clouds,0.0,0
182,Kurumkan,RU,54.3,110.3,79.39,51,0,3.2,clear sky,0.0,0
183,Grindavik,IS,63.84,-22.43,50.0,100,90,6.93,overcast clouds,0.0,0
184,Saint-Francois,FR,46.42,3.91,57.99,76,100,2.24,overcast clouds,0.0,0
185,Hobart,AU,-42.88,147.33,48.99,87,75,8.05,broken clouds,0.0,0
186,Tatui,BR,-23.36,-47.86,64.99,71,3,5.01,clear sky,0.0,0
187,Pisco,PE,-13.7,-76.22,61.0,93,2,9.17,clear sky,0.0,0
188,Xam Nua,LA,20.42,104.04,81.77,60,26,1.66,light rain,0.14,0
189,Port Blair,IN,11.67,92.75,82.89,79,96,12.17,overcast clouds,0.0,0
190,Codrington,AU,-38.27,141.97,52.7,77,2,8.52,clear sky,0.0,0
191,Baruun-Urt,MN,46.68,113.28,80.29,44,87,8.7,overcast clouds,0.0,0
192,Turukhansk,RU,65.82,87.98,51.3,77,95,13.62,overcast clouds,0.0,0
193,Green River,US,41.53,-109.47,78.8,16,1,23.04,clear sky,0.0,0
194,Isangel,VU,-19.55,169.27,78.8,78,75,5.82,broken clouds,0.0,0
195,Sorland,NO,67.67,12.69,56.17,77,0,6.35,clear sky,0.0,0
196,Lavrentiya,RU,65.58,-171.0,43.99,94,100,8.48,overcast clouds,0.0,0
197,Daoukro,CI,7.06,-3.96,67.87,98,87,3.85,overcast clouds,0.0,0
198,Sorong,ID,-0.88,131.25,83.62,69,70,3.38,broken clouds,0.0,0
199,Yatou,CN,37.15,122.38,77.94,67,1,5.23,clear sky,0.0,0
200,Guerrero Negro,MX,27.98,-114.06,70.92,75,0,18.34,clear sky,0.0,0
201,Klaksvik,FO,62.23,-6.59,50.0,93,89,3.36,overcast clouds,0.0,0
202,Vaitupu,not found,62.23,-6.59,0.0,0,0,0.0,no weather description,0.0,0
203,Marseille,FR,43.33,5.5,71.01,60,0,6.93,clear sky,0.0,0
204,Thompson,CA,55.74,-97.86,60.8,93,90,10.29,light intensity shower rain,0.0,0
205,Carnarvon,AU,-24.87,113.63,64.4,72,75,10.29,broken clouds,0.0,0
206,Pataskala,US,40.0,-82.67,75.2,60,1,4.7,clear sky,0.0,0
207,Naze,JP,28.37,129.48,87.8,79,75,14.99,broken clouds,0.0,0
208,Luderitz,NA,-26.65,15.16,53.6,58,0,5.82,clear sky,0.0,0
209,Obo,CF,5.4,26.49,65.41,97,81,3.22,broken clouds,0.0,0
210,Shilka,RU,51.85,116.03,80.78,62,2,3.8,moderate rain,1.14,0
211,Fuzhou,CN,26.06,119.31,87.8,70,100,8.95,overcast clouds,0.0,0
212,Peleduy,RU,59.63,112.74,85.89,40,34,2.17,scattered clouds,0.0,0
213,Chuy,UY,-33.7,-53.46,37.29,80,0,6.4,clear sky,0.0,0
214,Bagdarin,RU,54.43,113.6,75.02,66,0,2.35,light rain,0.44,0
215,Lompoc,US,34.64,-120.46,66.0,72,1,14.99,clear sky,0.0,0
216,Barrow,US,71.29,-156.79,39.2,80,75,12.75,broken clouds,0.0,0
217,Chaohu,CN,31.6,117.87,72.0,100,90,6.71,light rain,0.0,0
218,Adrar,MR,20.5,-10.07,94.32,21,27,6.04,scattered clouds,0.0,0
219,Henties Bay,NA,-22.12,14.28,63.3,38,0,4.27,clear sky,0.0,0
220,Neryungri,RU,56.67,124.65,82.94,43,1,3.83,clear sky,0.0,0
