City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
259,Kushima,JP,75.2,broken clouds,31.46,131.23,Hanaoka
261,Barra Do Garcas,BR,71.71,clear sky,-15.89,-52.26,Hotel Pousada Tropical
265,Socastee,US,82.99,clear sky,33.68,-79.0,Super 8 by Wyndham Myrtle Beach/Market Common Area
268,Arraial Do Cabo,BR,71.6,broken clouds,-22.97,-42.03,Pousada Porto Praia
273,Saint-Georges,GD,82.4,few clouds,12.06,-61.75,Radisson Grenada Beach Resort
274,Fort-Shevchenko,KZ,84.13,overcast clouds,44.51,50.26,Oasis hotel Bautino
275,Buchanan,LR,74.53,overcast clouds,5.88,-10.05,Kamaneahn Hotel Inc
277,Mazagao,BR,84.2,clear sky,-0.12,-51.29,Casa Lima Santos
278,Marsh Harbour,BS,84.38,overcast clouds,26.54,-77.06,Abaco Beach Resort
281,Miri,MY,80.6,scattered clouds,4.41,114.01,"Mega Hotel, Miri"
284,Great Falls,US,77.0,clear sky,47.5,-111.3,La Quinta Inn & Suites by Wyndham Great Falls
286,Darhan,MN,76.06,clear sky,49.49,105.92,Buudai Hotel
289,San Patricio,MX,86.0,broken clouds,19.22,-104.7,Hotel Cabo Blanco
290,Barao De Melgaco,BR,80.6,clear sky,-16.19,-55.97,Tuiuiu Pantanal Hotel
292,Yatsushiro,JP,73.4,broken clouds,32.5,130.6,Toyoko Inn
295,Korla,CN,83.88,scattered clouds,41.76,86.15,Gulisitan Hotel
297,Harpalpur,IN,89.08,scattered clouds,25.29,79.33,LDS Parvati Palace
298,Kalmunai,LK,82.62,overcast clouds,7.42,81.82,VS Villa
299,Ray,IN,75.2,haze,23.68,85.05,ray station jitan store
301,Lensk,RU,84.85,clear sky,60.73,114.93,ТинОрС
303,Panlaitan,PH,84.7,clear sky,12.12,119.85,Panlaitan Cetro Beach
309,Wyndham,US,82.99,clear sky,37.7,-77.61,Hilton Richmond Hotel & Spa/Short Pump
310,Rexburg,US,75.2,clear sky,43.83,-111.79,AmericInn by Wyndham Rexburg BYUI
313,Soe,ID,73.51,clear sky,-9.86,124.28,Dena Hotel
318,Ambulu,ID,79.93,few clouds,-8.35,113.61,Hotel Ambulu Jember
320,Rach Gia,VN,83.98,overcast clouds,10.02,105.08,Nhà Hàng Hòa Giang
321,Princeton,US,84.0,clear sky,25.54,-80.41,American Best Inn
323,Kutum,SD,74.32,clear sky,14.2,24.67,Dibbo areaمنطقة دبو
325,Ibotirama,BR,72.59,scattered clouds,-12.19,-43.22,Serra do Rio Hotel
326,Mumford,GH,73.6,clear sky,5.26,-0.76,Spanish Villa
329,Pedernales,DO,81.48,clear sky,18.04,-71.74,Hotel Costa Marina
331,Alenquer,BR,75.2,clear sky,-1.94,-54.74,Detinha Hotel
332,Atasu,KZ,73.49,scattered clouds,48.68,71.64,Dostyk
334,Serov,RU,72.54,clear sky,59.6,60.58,Five Stars Hotel
335,Balkanabat,TM,81.82,scattered clouds,39.51,54.37,Nebitchi Hotel
336,Jasper,US,89.6,clear sky,37.2,-94.35,Guest House Motel
342,Labuhan,ID,80.89,clear sky,-6.88,112.21,bador sepret
